22:50:51.693 DEBUG [DefaultLocalSearchPhase]     LS step (225), time spent (84918), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1178), picked move ([16] Melsele 1 in Basiswimpelen basis {Basiswimpelen basis A om 09:42 [2055] -> Basiswimpelen basis A om 10:00 [2073]}).
22:50:51.782 DEBUG [DefaultLocalSearchPhase]     LS step (226), time spent (85007), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1179), picked move ([191] Zomergem in Bondsreeks & vrije ritmiek  {Bondsreeks & vrije ritmiek jongens om 08:42 [2150] -> Bondsreeks & vrije ritmiek jongens om 08:30 [2138]}).
22:50:51.872 DEBUG [DefaultLocalSearchPhase]     LS step (227), time spent (85097), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1155), picked move ([22] Doorslaar 2 in Basiswimpelen basis {Basiswimpelen basis B om 09:06 [2050]} <-> [21] Doorslaar 1 in Basiswimpelen basis {Basiswimpelen basis B om 09:00 [2044]}).
22:50:51.965 DEBUG [DefaultLocalSearchPhase]     LS step (228), time spent (85190), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1196), picked move ([49] Nazareth in Basiswimpelen muziek {Basiswimpelen muziek B om 11:18 [2244] -> Basiswimpelen muziek B om 11:36 [2262]}).
22:50:52.051 DEBUG [DefaultLocalSearchPhase]     LS step (229), time spent (85276), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1181), picked move ([164] Stekene in Kringdans  &  {Kringdans meisjes & gemengd om 08:00 [2449] -> Kringdans meisjes & gemengd om 08:12 [2461]}).
22:50:52.141 DEBUG [DefaultLocalSearchPhase]     LS step (230), time spent (85366), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1159), picked move ([109] Lochristi Hijfte Jongens 1 in Gilden muziekreeks {Gilden muziekreeks B om 09:57 [2411] -> Gilden muziekreeks B om 10:06 [2420]}).
22:50:52.230 DEBUG [DefaultLocalSearchPhase]     LS step (231), time spent (85455), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1140), picked move ([159] Zomergem in Kringdans  {Kringdans jongens om 10:36 [2574] -> Kringdans jongens om 10:54 [2592]}).
22:50:52.318 DEBUG [DefaultLocalSearchPhase]     LS step (232), time spent (85543), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1153), picked move ([51] Opwijk in Basiswimpelen muziek {Basiswimpelen muziek A om 10:00 [2135] -> Basiswimpelen muziek A om 10:42 [2177]}).
22:50:52.405 DEBUG [DefaultLocalSearchPhase]     LS step (233), time spent (85630), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1153), picked move ([45] Hamme in Basiswimpelen muziek {Basiswimpelen muziek A om 11:48 [2243] -> Basiswimpelen muziek A om 10:24 [2159]}).
22:50:52.494 DEBUG [DefaultLocalSearchPhase]     LS step (234), time spent (85719), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1147), picked move ([160] Nazareth in Kringdans  {Kringdans jongens om 10:12 [2550] -> Kringdans jongens om 08:42 [2460]}).
22:50:52.598 DEBUG [DefaultLocalSearchPhase]     LS step (235), time spent (85823), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1144), picked move ([141] Beervelde in Hoofdgilden {Hoofdgilden om 10:24 [2500] -> Hoofdgilden om 11:27 [2563]}).
22:50:52.700 DEBUG [DefaultLocalSearchPhase]     LS step (236), time spent (85925), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1163), picked move ([173] Stekene in Parendans {Parendans om 11:42 [2702] -> Parendans om 11:12 [2672]}).
